T2M,WS10M,date
22.62,1.68,2013-01-01
22.68,1.88,2013-01-02
23.64,1.65,2013-01-03
24.38,1.28,2013-01-04
23.31,1.22,2013-01-05
24.73,1.08,2013-01-06
24.23,1.34,2013-01-07
24.24,1.35,2013-01-08
23.4,1.76,2013-01-09
23.43,1.63,2013-01-10
23.38,1.6,2013-01-11
23.34,1.48,2013-01-12
23.51,1.77,2013-01-13
24.38,1.3,2013-01-14
24.87,1.27,2013-01-15
24.97,1.16,2013-01-16
24.98,1.31,2013-01-17
25.13,1.19,2013-01-18
24.91,1.44,2013-01-19
26.03,1.04,2013-01-20
26.26,1.2,2013-01-21
26.55,1.19,2013-01-22
25.36,1.55,2013-01-23
25.28,1.46,2013-01-24
25.33,1.55,2013-01-25
25.25,1.62,2013-01-26
24.61,1.27,2013-01-27
24.87,0.71,2013-01-28
24.68,0.65,2013-01-29
25.44,0.76,2013-01-30
23.3,1.87,2013-01-31
21.19,2.38,2013-02-01
22.19,1.86,2013-02-02
23.75,1.52,2013-02-03
25.24,1.33,2013-02-04
25.43,1.21,2013-02-05
26.37,1.23,2013-02-06
26.04,0.98,2013-02-07
26.18,1.62,2013-02-08
24.81,1.31,2013-02-09
24.75,1.45,2013-02-10
25.33,1.34,2013-02-11
26.0,1.64,2013-02-12
25.33,1.52,2013-02-13
25.83,1.63,2013-02-14
25.36,1.43,2013-02-15
26.48,1.27,2013-02-16
25.44,1.63,2013-02-17
25.41,1.16,2013-02-18
25.24,1.55,2013-02-19
24.58,1.48,2013-02-20
25.97,1.08,2013-02-21
25.58,1.18,2013-02-22
26.84,1.27,2013-02-23
26.22,1.68,2013-02-24
26.25,1.62,2013-02-25
25.28,1.41,2013-02-26
25.5,1.43,2013-02-27
26.48,1.39,2013-02-28
26.33,1.52,2013-03-01
25.9,1.44,2013-03-02
26.56,1.48,2013-03-03
26.01,1.6,2013-03-04
26.19,1.46,2013-03-05
26.85,1.68,2013-03-06
26.39,1.59,2013-03-07
26.88,1.64,2013-03-08
26.39,1.8,2013-03-09
26.06,1.49,2013-03-10
25.57,1.55,2013-03-11
26.13,1.54,2013-03-12
26.03,1.29,2013-03-13
26.02,1.46,2013-03-14
25.69,1.65,2013-03-15
25.98,1.63,2013-03-16
25.26,1.57,2013-03-17
26.21,1.19,2013-03-18
26.38,1.59,2013-03-19
25.9,1.5,2013-03-20
25.8,1.61,2013-03-21
26.35,1.62,2013-03-22
25.4,1.56,2013-03-23
25.67,1.31,2013-03-24
25.54,1.32,2013-03-25
25.4,1.47,2013-03-26
25.37,1.51,2013-03-27
25.3,1.09,2013-03-28
25.87,1.44,2013-03-29
25.3,1.52,2013-03-30
25.94,1.37,2013-03-31
25.62,1.17,2013-04-01
25.34,1.37,2013-04-02
25.62,1.46,2013-04-03
26.08,1.49,2013-04-04
26.71,1.45,2013-04-05
26.36,1.64,2013-04-06
26.17,1.66,2013-04-07
25.6,1.53,2013-04-08
25.41,1.54,2013-04-09
25.22,1.38,2013-04-10
26.4,1.26,2013-04-11
26.23,1.41,2013-04-12
26.15,1.46,2013-04-13
26.23,1.3,2013-04-14
25.83,1.18,2013-04-15
25.94,1.45,2013-04-16
25.69,1.3,2013-04-17
25.72,1.43,2013-04-18
25.1,1.38,2013-04-19
25.37,1.04,2013-04-20
26.51,1.03,2013-04-21
25.63,1.19,2013-04-22
25.48,1.38,2013-04-23
26.12,1.1,2013-04-24
26.4,1.13,2013-04-25
25.3,0.93,2013-04-26
25.64,1.45,2013-04-27
26.06,0.93,2013-04-28
25.94,0.98,2013-04-29
25.37,1.22,2013-04-30
24.81,1.45,2013-05-01
26.14,1.05,2013-05-02
25.96,1.3,2013-05-03
25.21,1.4,2013-05-04
25.29,0.98,2013-05-05
25.32,1.25,2013-05-06
25.15,1.43,2013-05-07
25.05,1.46,2013-05-08
25.94,1.21,2013-05-09
25.01,1.38,2013-05-10
23.84,1.41,2013-05-11
25.07,1.21,2013-05-12
25.44,1.05,2013-05-13
24.79,1.0,2013-05-14
24.9,1.04,2013-05-15
25.94,1.17,2013-05-16
25.86,1.18,2013-05-17
25.2,1.13,2013-05-18
25.11,1.01,2013-05-19
25.47,1.45,2013-05-20
25.17,1.18,2013-05-21
25.49,1.34,2013-05-22
25.36,1.56,2013-05-23
25.01,1.23,2013-05-24
25.38,1.3,2013-05-25
25.73,1.33,2013-05-26
24.5,1.36,2013-05-27
24.13,1.49,2013-05-28
24.89,1.04,2013-05-29
24.26,1.13,2013-05-30
24.83,1.29,2013-05-31
24.58,1.38,2013-06-01
24.06,1.62,2013-06-02
24.28,1.3,2013-06-03
24.22,1.7,2013-06-04
23.67,1.12,2013-06-05
24.22,1.23,2013-06-06
25.02,1.24,2013-06-07
25.9,1.23,2013-06-08
25.16,1.73,2013-06-09
24.65,1.38,2013-06-10
24.94,1.27,2013-06-11
24.58,1.59,2013-06-12
24.58,1.51,2013-06-13
24.62,1.63,2013-06-14
24.87,1.36,2013-06-15
24.77,1.37,2013-06-16
25.23,1.36,2013-06-17
25.07,1.79,2013-06-18
24.35,1.56,2013-06-19
24.41,1.75,2013-06-20
24.87,1.41,2013-06-21
25.23,1.51,2013-06-22
24.9,1.67,2013-06-23
23.82,1.66,2013-06-24
24.48,1.18,2013-06-25
24.9,1.25,2013-06-26
23.48,1.66,2013-06-27
24.16,1.47,2013-06-28
23.83,0.95,2013-06-29
23.98,1.4,2013-06-30
24.63,1.45,2013-07-01
24.35,1.34,2013-07-02
23.48,1.53,2013-07-03
22.74,1.45,2013-07-04
23.23,1.53,2013-07-05
23.9,1.5,2013-07-06
24.19,1.68,2013-07-07
23.13,1.57,2013-07-08
24.25,1.28,2013-07-09
24.18,1.35,2013-07-10
24.03,1.58,2013-07-11
23.99,1.53,2013-07-12
24.2,1.47,2013-07-13
22.61,1.6,2013-07-14
23.97,1.48,2013-07-15
24.13,1.59,2013-07-16
24.48,1.52,2013-07-17
24.23,1.64,2013-07-18
24.1,1.65,2013-07-19
23.81,1.52,2013-07-20
23.51,1.45,2013-07-21
24.24,1.3,2013-07-22
24.39,1.34,2013-07-23
24.01,1.9,2013-07-24
23.48,1.52,2013-07-25
23.43,1.47,2013-07-26
24.11,1.77,2013-07-27
23.12,1.83,2013-07-28
23.3,1.76,2013-07-29
23.81,1.32,2013-07-30
24.15,1.55,2013-07-31
23.93,1.87,2013-08-01
23.1,1.59,2013-08-02
23.87,1.51,2013-08-03
23.49,1.74,2013-08-04
23.28,1.76,2013-08-05
23.91,1.88,2013-08-06
22.69,2.12,2013-08-07
23.53,2.12,2013-08-08
23.42,1.66,2013-08-09
23.57,1.66,2013-08-10
23.62,1.65,2013-08-11
23.05,1.75,2013-08-12
23.4,1.56,2013-08-13
23.39,1.47,2013-08-14
22.9,2.35,2013-08-15
23.67,1.72,2013-08-16
23.49,1.68,2013-08-17
24.13,1.51,2013-08-18
24.8,1.3,2013-08-19
24.03,1.6,2013-08-20
23.63,1.65,2013-08-21
24.08,1.29,2013-08-22
24.49,1.54,2013-08-23
24.12,1.41,2013-08-24
23.2,1.79,2013-08-25
24.33,1.45,2013-08-26
23.48,1.02,2013-08-27
23.52,1.29,2013-08-28
23.56,1.44,2013-08-29
23.83,1.21,2013-08-30
23.89,1.52,2013-08-31
23.45,1.95,2013-09-01
23.7,1.4,2013-09-02
24.65,0.84,2013-09-03
24.26,1.07,2013-09-04
23.15,1.78,2013-09-05
23.98,1.52,2013-09-06
23.94,1.37,2013-09-07
23.62,1.2,2013-09-08
24.17,1.51,2013-09-09
23.3,1.61,2013-09-10
23.72,1.61,2013-09-11
24.0,1.64,2013-09-12
24.26,1.09,2013-09-13
24.08,1.29,2013-09-14
23.9,1.23,2013-09-15
25.04,1.18,2013-09-16
25.15,1.02,2013-09-17
25.49,0.88,2013-09-18
25.11,1.0,2013-09-19
24.85,1.17,2013-09-20
24.63,1.12,2013-09-21
24.54,1.6,2013-09-22
