T2M,WS10M,date
21.67,2.55,2013-01-01
22.35,2.33,2013-01-02
23.24,2.11,2013-01-03
23.89,1.68,2013-01-04
23.15,1.7,2013-01-05
24.31,1.48,2013-01-06
23.99,1.56,2013-01-07
24.81,1.34,2013-01-08
23.72,1.82,2013-01-09
23.48,2.09,2013-01-10
23.41,1.91,2013-01-11
23.25,1.98,2013-01-12
23.12,2.26,2013-01-13
24.43,1.28,2013-01-14
25.56,1.17,2013-01-15
25.4,1.18,2013-01-16
25.05,1.62,2013-01-17
25.32,1.5,2013-01-18
25.1,2.07,2013-01-19
26.26,1.06,2013-01-20
26.55,1.52,2013-01-21
26.83,1.38,2013-01-22
25.78,2.09,2013-01-23
25.14,1.94,2013-01-24
25.33,2.08,2013-01-25
25.15,2.16,2013-01-26
24.57,1.57,2013-01-27
25.27,0.89,2013-01-28
24.91,0.76,2013-01-29
24.7,1.17,2013-01-30
22.87,2.77,2013-01-31
21.73,3.16,2013-02-01
21.83,2.2,2013-02-02
23.8,1.41,2013-02-03
25.48,1.3,2013-02-04
25.12,1.44,2013-02-05
26.4,1.2,2013-02-06
26.14,1.52,2013-02-07
25.68,2.05,2013-02-08
24.81,1.5,2013-02-09
24.26,1.56,2013-02-10
25.02,1.51,2013-02-11
25.4,2.08,2013-02-12
24.95,1.92,2013-02-13
25.82,2.1,2013-02-14
25.5,1.9,2013-02-15
26.58,1.63,2013-02-16
25.1,2.25,2013-02-17
25.15,1.54,2013-02-18
24.65,2.01,2013-02-19
24.61,2.0,2013-02-20
26.11,1.51,2013-02-21
25.83,1.46,2013-02-22
26.82,1.75,2013-02-23
26.23,2.27,2013-02-24
26.15,2.32,2013-02-25
25.43,2.06,2013-02-26
25.3,1.81,2013-02-27
26.56,1.8,2013-02-28
26.14,2.15,2013-03-01
25.87,1.94,2013-03-02
26.13,2.0,2013-03-03
25.76,2.22,2013-03-04
26.33,1.85,2013-03-05
26.51,2.22,2013-03-06
26.43,2.27,2013-03-07
26.69,2.26,2013-03-08
26.51,2.67,2013-03-09
25.76,2.07,2013-03-10
25.53,2.17,2013-03-11
25.73,2.1,2013-03-12
25.83,1.83,2013-03-13
26.3,2.02,2013-03-14
26.39,2.37,2013-03-15
25.8,2.46,2013-03-16
25.15,2.2,2013-03-17
26.05,1.51,2013-03-18
26.36,2.03,2013-03-19
26.26,2.16,2013-03-20
25.96,2.39,2013-03-21
26.65,2.49,2013-03-22
25.58,2.52,2013-03-23
25.45,2.16,2013-03-24
25.37,1.9,2013-03-25
25.39,2.12,2013-03-26
25.26,2.23,2013-03-27
25.27,1.75,2013-03-28
25.81,2.04,2013-03-29
25.51,2.3,2013-03-30
26.04,1.9,2013-03-31
25.68,1.52,2013-04-01
25.19,1.7,2013-04-02
25.44,2.04,2013-04-03
26.02,2.05,2013-04-04
26.51,1.95,2013-04-05
26.43,2.23,2013-04-06
26.08,2.38,2013-04-07
25.68,2.28,2013-04-08
25.3,2.16,2013-04-09
25.19,1.89,2013-04-10
26.03,1.66,2013-04-11
26.23,2.05,2013-04-12
25.98,2.05,2013-04-13
25.98,1.96,2013-04-14
25.87,1.62,2013-04-15
25.44,2.19,2013-04-16
25.34,2.01,2013-04-17
25.19,2.12,2013-04-18
24.9,1.92,2013-04-19
25.49,0.99,2013-04-20
26.14,1.2,2013-04-21
25.68,1.74,2013-04-22
25.45,1.88,2013-04-23
26.5,1.36,2013-04-24
26.53,1.34,2013-04-25
24.89,1.31,2013-04-26
25.33,1.8,2013-04-27
26.34,0.88,2013-04-28
25.43,1.55,2013-04-29
24.98,1.69,2013-04-30
24.8,1.83,2013-05-01
25.9,1.3,2013-05-02
26.0,1.82,2013-05-03
25.16,2.09,2013-05-04
25.58,1.52,2013-05-05
25.4,1.79,2013-05-06
25.42,2.01,2013-05-07
24.91,1.91,2013-05-08
25.88,1.66,2013-05-09
25.22,1.95,2013-05-10
23.9,2.16,2013-05-11
25.24,1.21,2013-05-12
25.08,1.33,2013-05-13
24.32,1.26,2013-05-14
25.07,1.35,2013-05-15
25.75,1.62,2013-05-16
25.65,1.66,2013-05-17
24.87,1.52,2013-05-18
25.3,1.5,2013-05-19
25.33,2.02,2013-05-20
24.76,1.72,2013-05-21
25.36,1.88,2013-05-22
25.15,2.23,2013-05-23
24.98,1.69,2013-05-24
25.26,1.91,2013-05-25
25.7,1.68,2013-05-26
24.33,1.88,2013-05-27
24.36,1.95,2013-05-28
25.17,1.49,2013-05-29
24.69,1.59,2013-05-30
24.74,1.75,2013-05-31
24.3,1.88,2013-06-01
23.74,2.44,2013-06-02
24.18,1.83,2013-06-03
24.19,2.31,2013-06-04
23.6,1.7,2013-06-05
24.43,1.66,2013-06-06
24.98,1.59,2013-06-07
25.76,1.41,2013-06-08
25.06,2.56,2013-06-09
24.71,1.8,2013-06-10
24.9,1.62,2013-06-11
24.72,2.3,2013-06-12
24.28,2.2,2013-06-13
24.65,2.19,2013-06-14
24.62,1.95,2013-06-15
24.45,1.85,2013-06-16
25.07,2.11,2013-06-17
24.93,2.51,2013-06-18
24.32,2.3,2013-06-19
24.5,2.77,2013-06-20
24.76,2.02,2013-06-21
25.09,2.07,2013-06-22
24.95,2.42,2013-06-23
