T2M,WS10M,date
20.37,4.3,2013-01-01
21.5,3.91,2013-01-02
22.32,3.48,2013-01-03
22.79,3.0,2013-01-04
23.7,2.45,2013-01-05
23.43,2.84,2013-01-06
23.1,2.73,2013-01-07
24.9,2.08,2013-01-08
22.98,2.98,2013-01-09
22.93,3.45,2013-01-10
23.06,2.48,2013-01-11
22.53,3.17,2013-01-12
22.73,3.34,2013-01-13
24.15,1.68,2013-01-14
25.84,1.52,2013-01-15
25.26,2.26,2013-01-16
25.08,1.57,2013-01-17
25.48,1.98,2013-01-18
25.26,3.15,2013-01-19
26.01,1.66,2013-01-20
26.63,2.02,2013-01-21
26.83,1.95,2013-01-22
26.36,2.88,2013-01-23
25.4,2.8,2013-01-24
25.74,2.93,2013-01-25
25.19,2.98,2013-01-26
24.64,2.62,2013-01-27
25.8,1.25,2013-01-28
25.14,1.04,2013-01-29
24.26,1.71,2013-01-30
22.02,5.01,2013-01-31
21.68,4.65,2013-02-01
21.58,3.04,2013-02-02
24.29,1.46,2013-02-03
25.61,1.55,2013-02-04
25.37,1.98,2013-02-05
26.19,1.33,2013-02-06
25.83,2.44,2013-02-07
25.61,2.21,2013-02-08
25.46,2.16,2013-02-09
24.22,1.95,2013-02-10
25.21,2.21,2013-02-11
25.15,2.7,2013-02-12
25.02,2.55,2013-02-13
25.72,2.71,2013-02-14
26.04,2.71,2013-02-15
26.76,2.31,2013-02-16
25.11,3.1,2013-02-17
25.26,2.18,2013-02-18
24.66,2.78,2013-02-19
25.48,2.95,2013-02-20
26.3,2.01,2013-02-21
26.34,1.94,2013-02-22
27.17,2.3,2013-02-23
26.5,3.35,2013-02-24
26.23,3.34,2013-02-25
25.83,3.15,2013-02-26
25.41,2.64,2013-02-27
26.49,2.55,2013-02-28
26.13,3.09,2013-03-01
25.81,2.79,2013-03-02
26.03,2.8,2013-03-03
26.01,3.25,2013-03-04
26.55,2.56,2013-03-05
26.98,3.22,2013-03-06
27.17,3.38,2013-03-07
26.85,3.2,2013-03-08
26.23,3.92,2013-03-09
25.64,3.02,2013-03-10
25.89,3.26,2013-03-11
26.01,3.02,2013-03-12
25.91,2.66,2013-03-13
26.9,2.98,2013-03-14
26.83,3.31,2013-03-15
26.11,3.35,2013-03-16
25.5,3.26,2013-03-17
26.07,2.21,2013-03-18
26.56,2.73,2013-03-19
26.81,3.29,2013-03-20
26.24,3.9,2013-03-21
26.67,3.55,2013-03-22
25.99,3.62,2013-03-23
25.43,3.3,2013-03-24
25.75,2.88,2013-03-25
25.59,3.12,2013-03-26
25.38,3.34,2013-03-27
25.41,2.67,2013-03-28
25.85,3.24,2013-03-29
25.4,3.53,2013-03-30
25.76,3.05,2013-03-31
25.54,2.44,2013-04-01
24.93,2.46,2013-04-02
25.78,3.03,2013-04-03
26.26,2.95,2013-04-04
26.51,2.6,2013-04-05
26.37,3.09,2013-04-06
26.17,3.3,2013-04-07
25.66,3.32,2013-04-08
25.33,3.15,2013-04-09
25.43,2.73,2013-04-10
26.01,2.38,2013-04-11
26.3,3.12,2013-04-12
26.08,3.14,2013-04-13
26.23,2.86,2013-04-14
26.01,2.3,2013-04-15
25.75,3.5,2013-04-16
25.37,3.12,2013-04-17
25.19,3.32,2013-04-18
25.18,2.97,2013-04-19
25.92,1.16,2013-04-20
26.26,1.73,2013-04-21
25.9,2.34,2013-04-22
25.8,2.67,2013-04-23
26.61,2.0,2013-04-24
26.84,1.93,2013-04-25
25.01,1.8,2013-04-26
25.58,2.53,2013-04-27
26.18,1.88,2013-04-28
25.54,2.27,2013-04-29
25.35,2.31,2013-04-30
24.97,2.45,2013-05-01
25.73,1.89,2013-05-02
26.27,2.66,2013-05-03
25.39,3.12,2013-05-04
25.98,2.64,2013-05-05
25.55,2.67,2013-05-06
25.58,3.11,2013-05-07
24.92,2.85,2013-05-08
25.34,2.47,2013-05-09
25.59,2.93,2013-05-10
24.49,2.97,2013-05-11
25.37,1.58,2013-05-12
24.89,2.15,2013-05-13
24.55,1.98,2013-05-14
25.39,1.73,2013-05-15
25.84,2.32,2013-05-16
25.55,2.51,2013-05-17
24.65,2.27,2013-05-18
25.31,2.16,2013-05-19
25.58,3.08,2013-05-20
24.82,2.58,2013-05-21
25.34,2.82,2013-05-22
25.15,3.27,2013-05-23
25.37,2.55,2013-05-24
25.41,2.83,2013-05-25
25.46,2.51,2013-05-26
24.3,2.97,2013-05-27
24.51,2.48,2013-05-28
25.44,2.09,2013-05-29
25.05,2.24,2013-05-30
24.62,2.31,2013-05-31
24.49,2.62,2013-06-01
24.01,3.73,2013-06-02
24.39,2.7,2013-06-03
24.39,3.45,2013-06-04
23.6,2.8,2013-06-05
24.63,2.34,2013-06-06
25.15,2.12,2013-06-07
25.48,2.09,2013-06-08
24.99,3.59,2013-06-09
24.72,2.55,2013-06-10
24.55,2.3,2013-06-11
24.87,3.32,2013-06-12
24.5,3.59,2013-06-13
25.01,3.13,2013-06-14
24.83,2.83,2013-06-15
24.46,2.73,2013-06-16
25.14,3.08,2013-06-17
25.13,3.4,2013-06-18
24.57,3.52,2013-06-19
24.97,4.17,2013-06-20
24.8,3.11,2013-06-21
25.11,2.94,2013-06-22
25.01,3.41,2013-06-23
23.87,3.6,2013-06-24
24.47,2.19,2013-06-25
24.75,2.14,2013-06-26
23.71,3.99,2013-06-27
24.12,3.3,2013-06-28
24.25,1.88,2013-06-29
23.79,2.75,2013-06-30
24.2,2.41,2013-07-01
24.6,2.21,2013-07-02
23.53,3.34,2013-07-03
23.85,3.18,2013-07-04
23.69,2.9,2013-07-05
23.54,3.09,2013-07-06
24.27,3.12,2013-07-07
23.09,3.27,2013-07-08
24.19,2.16,2013-07-09
24.48,1.94,2013-07-10
24.69,2.33,2013-07-11
24.23,2.53,2013-07-12
24.26,2.57,2013-07-13
23.29,3.77,2013-07-14
23.76,2.97,2013-07-15
24.36,2.9,2013-07-16
24.82,3.13,2013-07-17
24.11,3.5,2013-07-18
24.15,2.91,2013-07-19
24.14,3.0,2013-07-20
24.05,2.41,2013-07-21
24.37,2.33,2013-07-22
24.72,2.5,2013-07-23
23.98,3.64,2013-07-24
22.89,2.8,2013-07-25
23.75,2.7,2013-07-26
24.44,2.84,2013-07-27
23.86,4.03,2013-07-28
23.25,4.09,2013-07-29
23.42,2.52,2013-07-30
23.91,3.07,2013-07-31
23.72,4.08,2013-08-01
23.36,3.2,2013-08-02
23.93,3.1,2013-08-03
23.74,3.75,2013-08-04
23.86,3.98,2013-08-05
23.78,3.79,2013-08-06
23.36,4.32,2013-08-07
22.62,4.09,2013-08-08
23.14,3.3,2013-08-09
23.34,3.25,2013-08-10
23.45,3.45,2013-08-11
23.1,3.77,2013-08-12
23.43,3.14,2013-08-13
23.5,2.94,2013-08-14
22.58,4.82,2013-08-15
23.76,3.91,2013-08-16
23.56,3.28,2013-08-17
24.13,3.14,2013-08-18
24.7,2.77,2013-08-19
23.83,3.56,2013-08-20
23.82,3.87,2013-08-21
24.08,2.61,2013-08-22
24.37,3.48,2013-08-23
24.08,2.86,2013-08-24
23.26,3.09,2013-08-25
24.28,2.73,2013-08-26
24.11,2.18,2013-08-27
24.34,2.01,2013-08-28
23.65,2.88,2013-08-29
23.44,2.32,2013-08-30
24.44,3.55,2013-08-31
23.01,3.54,2013-09-01
24.15,2.88,2013-09-02
24.66,1.61,2013-09-03
24.11,1.79,2013-09-04
23.26,3.91,2013-09-05
24.15,3.44,2013-09-06
23.41,2.17,2013-09-07
23.53,2.15,2013-09-08
24.13,2.55,2013-09-09
23.88,3.2,2013-09-10
24.17,4.24,2013-09-11
23.36,3.44,2013-09-12
24.21,2.38,2013-09-13
23.91,1.6,2013-09-14
24.39,1.98,2013-09-15
25.25,1.66,2013-09-16
25.07,1.84,2013-09-17
25.75,1.48,2013-09-18
25.35,1.94,2013-09-19
25.04,2.35,2013-09-20
25.07,2.11,2013-09-21
24.99,2.11,2013-09-22
23.97,4.74,2013-09-23
24.11,3.47,2013-09-24
25.04,1.68,2013-09-25
25.37,1.66,2013-09-26
25.46,2.34,2013-09-27
24.06,2.97,2013-09-28
25.2,1.91,2013-09-29
25.58,1.59,2013-09-30
24.87,2.2,2013-10-01
24.63,2.54,2013-10-02
24.49,2.77,2013-10-03
24.11,2.46,2013-10-04
23.34,1.53,2013-10-05
24.4,2.12,2013-10-06
24.86,1.94,2013-10-07
24.73,1.38,2013-10-08
23.88,1.77,2013-10-09
24.83,1.6,2013-10-10
25.48,1.34,2013-10-11
25.91,1.74,2013-10-12
25.15,2.23,2013-10-13
25.05,2.05,2013-10-14
24.9,2.17,2013-10-15
25.66,1.96,2013-10-16
25.19,1.95,2013-10-17
26.0,2.02,2013-10-18
26.01,1.75,2013-10-19
25.86,1.92,2013-10-20
25.53,2.38,2013-10-21
25.02,1.96,2013-10-22
25.29,1.67,2013-10-23
25.01,2.0,2013-10-24
24.89,2.07,2013-10-25
25.35,1.8,2013-10-26
25.59,2.2,2013-10-27
25.44,2.25,2013-10-28
24.66,2.48,2013-10-29
25.08,1.74,2013-10-30
25.15,1.86,2013-10-31
24.4,1.73,2013-11-01
25.02,1.88,2013-11-02
25.26,1.82,2013-11-03
25.5,1.67,2013-11-04
24.63,1.8,2013-11-05
25.04,1.48,2013-11-06
25.33,1.68,2013-11-07
25.18,1.94,2013-11-08
