T2M,WS10M,date
22.01,6.52,2013-01-01
22.8,6.75,2013-01-02
24.47,5.39,2013-01-03
24.76,4.91,2013-01-04
24.9,3.54,2013-01-05
24.3,4.2,2013-01-06
23.23,6.19,2013-01-07
23.55,6.01,2013-01-08
23.63,6.98,2013-01-09
23.35,6.64,2013-01-10
23.36,6.82,2013-01-11
24.15,6.72,2013-01-12
24.19,7.41,2013-01-13
25.46,5.46,2013-01-14
26.3,3.84,2013-01-15
27.06,4.2,2013-01-16
26.24,4.16,2013-01-17
26.56,3.32,2013-01-18
27.14,2.67,2013-01-19
27.5,2.52,2013-01-20
28.98,2.48,2013-01-21
28.42,3.16,2013-01-22
28.4,2.77,2013-01-23
27.4,2.88,2013-01-24
27.08,3.21,2013-01-25
27.26,3.62,2013-01-26
27.19,2.38,2013-01-27
26.81,2.79,2013-01-28
24.84,5.14,2013-01-29
25.27,5.31,2013-01-30
23.08,8.69,2013-01-31
22.28,8.14,2013-02-01
23.1,5.83,2013-02-02
26.24,3.45,2013-02-03
27.74,3.48,2013-02-04
28.34,4.77,2013-02-05
26.17,7.7,2013-02-06
27.26,5.98,2013-02-07
28.32,5.28,2013-02-08
27.59,4.63,2013-02-09
27.49,4.41,2013-02-10
27.22,4.8,2013-02-11
27.8,3.15,2013-02-12
28.62,3.07,2013-02-13
28.96,3.12,2013-02-14
29.06,2.54,2013-02-15
28.66,4.2,2013-02-16
29.11,3.16,2013-02-17
28.26,2.35,2013-02-18
27.9,2.48,2013-02-19
28.73,3.38,2013-02-20
29.76,3.04,2013-02-21
30.12,2.94,2013-02-22
29.56,3.43,2013-02-23
29.71,4.3,2013-02-24
28.51,2.88,2013-02-25
28.87,3.07,2013-02-26
29.48,3.21,2013-02-27
30.4,3.08,2013-02-28
29.94,2.58,2013-03-01
28.7,3.46,2013-03-02
30.04,3.31,2013-03-03
28.66,3.97,2013-03-04
29.19,3.23,2013-03-05
29.73,3.93,2013-03-06
29.84,4.7,2013-03-07
30.23,3.98,2013-03-08
30.08,3.95,2013-03-09
29.93,4.02,2013-03-10
29.55,3.77,2013-03-11
29.91,2.98,2013-03-12
28.15,4.02,2013-03-13
29.62,4.22,2013-03-14
28.12,4.05,2013-03-15
27.69,4.37,2013-03-16
28.37,4.02,2013-03-17
29.15,3.32,2013-03-18
30.4,3.12,2013-03-19
29.97,3.14,2013-03-20
28.9,4.71,2013-03-21
28.01,5.15,2013-03-22
29.05,4.01,2013-03-23
28.15,4.12,2013-03-24
29.15,4.12,2013-03-25
29.78,4.77,2013-03-26
28.79,4.98,2013-03-27
26.83,4.41,2013-03-28
27.46,3.83,2013-03-29
26.43,4.89,2013-03-30
26.43,3.62,2013-03-31
29.17,2.93,2013-04-01
27.6,3.75,2013-04-02
27.1,2.61,2013-04-03
29.21,3.6,2013-04-04
30.36,3.44,2013-04-05
29.63,4.41,2013-04-06
28.05,5.81,2013-04-07
25.91,4.45,2013-04-08
27.05,3.3,2013-04-09
27.25,2.99,2013-04-10
28.93,3.38,2013-04-11
29.18,3.87,2013-04-12
27.37,3.87,2013-04-13
28.07,2.98,2013-04-14
29.51,2.9,2013-04-15
28.68,3.22,2013-04-16
28.23,4.34,2013-04-17
28.07,4.12,2013-04-18
26.99,4.47,2013-04-19
27.94,2.41,2013-04-20
28.42,2.75,2013-04-21
28.56,3.27,2013-04-22
26.74,2.39,2013-04-23
26.98,2.42,2013-04-24
29.44,2.82,2013-04-25
30.25,4.69,2013-04-26
27.93,3.73,2013-04-27
26.31,2.82,2013-04-28
28.43,2.08,2013-04-29
28.49,3.22,2013-04-30
25.95,4.12,2013-05-01
26.69,2.7,2013-05-02
26.95,3.46,2013-05-03
25.84,4.03,2013-05-04
26.99,3.34,2013-05-05
26.03,3.41,2013-05-06
27.11,3.09,2013-05-07
26.1,4.39,2013-05-08
26.33,3.58,2013-05-09
26.44,3.67,2013-05-10
26.26,4.45,2013-05-11
26.48,2.58,2013-05-12
27.16,2.82,2013-05-13
27.87,2.41,2013-05-14
26.2,2.67,2013-05-15
28.32,3.55,2013-05-16
29.25,2.77,2013-05-17
28.69,2.94,2013-05-18
29.25,3.48,2013-05-19
26.75,4.19,2013-05-20
26.36,3.34,2013-05-21
26.76,3.22,2013-05-22
25.92,4.22,2013-05-23
26.23,3.76,2013-05-24
27.14,3.55,2013-05-25
27.06,2.09,2013-05-26
25.65,2.71,2013-05-27
25.04,3.85,2013-05-28
25.42,2.48,2013-05-29
26.69,2.77,2013-05-30
27.52,3.51,2013-05-31
26.87,2.86,2013-06-01
26.66,3.79,2013-06-02
25.98,4.03,2013-06-03
26.55,4.55,2013-06-04
24.83,2.9,2013-06-05
26.05,2.77,2013-06-06
26.89,2.9,2013-06-07
27.18,3.1,2013-06-08
25.46,3.93,2013-06-09
26.13,2.75,2013-06-10
24.42,3.3,2013-06-11
26.06,4.19,2013-06-12
26.24,4.58,2013-06-13
25.36,4.34,2013-06-14
26.15,2.84,2013-06-15
27.12,3.05,2013-06-16
25.67,3.03,2013-06-17
25.55,2.67,2013-06-18
25.58,4.36,2013-06-19
24.88,4.9,2013-06-20
