T2M,WS10M,date
22.62,2.62,2013-01-01
23.28,2.05,2013-01-02
25.29,1.62,2013-01-03
26.26,1.45,2013-01-04
26.15,1.87,2013-01-05
25.9,1.92,2013-01-06
24.94,1.37,2013-01-07
25.08,1.93,2013-01-08
23.96,2.12,2013-01-09
23.93,2.33,2013-01-10
24.73,1.58,2013-01-11
24.69,2.16,2013-01-12
25.23,1.82,2013-01-13
26.21,1.52,2013-01-14
27.05,1.7,2013-01-15
26.9,1.69,2013-01-16
27.38,1.84,2013-01-17
26.4,1.88,2013-01-18
26.65,1.55,2013-01-19
27.12,1.38,2013-01-20
26.64,1.56,2013-01-21
26.94,1.87,2013-01-22
26.51,2.12,2013-01-23
26.3,1.73,2013-01-24
26.34,1.96,2013-01-25
26.27,2.03,2013-01-26
26.48,1.89,2013-01-27
26.29,1.37,2013-01-28
26.57,1.16,2013-01-29
26.59,1.36,2013-01-30
22.08,2.88,2013-01-31
21.38,3.3,2013-02-01
23.46,1.95,2013-02-02
25.86,1.42,2013-02-03
27.28,1.38,2013-02-04
27.3,1.27,2013-02-05
27.42,1.43,2013-02-06
26.68,1.59,2013-02-07
26.87,1.76,2013-02-08
26.09,2.09,2013-02-09
25.71,2.04,2013-02-10
26.11,1.95,2013-02-11
26.25,2.1,2013-02-12
26.15,2.03,2013-02-13
26.51,2.0,2013-02-14
26.39,1.76,2013-02-15
27.01,1.58,2013-02-16
26.52,2.55,2013-02-17
26.37,1.86,2013-02-18
26.35,2.07,2013-02-19
26.01,2.03,2013-02-20
27.05,1.66,2013-02-21
27.41,1.68,2013-02-22
26.34,1.79,2013-02-23
27.35,2.07,2013-02-24
26.78,2.2,2013-02-25
26.53,1.91,2013-02-26
26.51,1.67,2013-02-27
27.46,1.95,2013-02-28
27.32,1.86,2013-03-01
26.12,1.61,2013-03-02
27.43,1.95,2013-03-03
26.04,2.34,2013-03-04
27.34,1.92,2013-03-05
27.4,2.1,2013-03-06
27.07,1.95,2013-03-07
26.71,1.77,2013-03-08
26.69,2.37,2013-03-09
