T2M,WS10M,date
19.47,4.76,2013-01-01
20.75,3.91,2013-01-02
22.02,3.6,2013-01-03
22.55,3.88,2013-01-04
21.77,3.8,2013-01-05
21.59,5.35,2013-01-06
21.73,4.64,2013-01-07
22.73,4.55,2013-01-08
21.85,4.88,2013-01-09
21.08,5.34,2013-01-10
20.99,5.27,2013-01-11
21.6,4.98,2013-01-12
21.6,4.72,2013-01-13
23.04,3.72,2013-01-14
24.83,3.63,2013-01-15
25.23,3.89,2013-01-16
26.15,3.75,2013-01-17
26.56,3.54,2013-01-18
27.01,2.52,2013-01-19
28.22,1.58,2013-01-20
27.44,2.19,2013-01-21
29.2,2.11,2013-01-22
30.18,2.26,2013-01-23
29.86,2.39,2013-01-24
29.05,2.04,2013-01-25
28.65,2.56,2013-01-26
26.76,3.31,2013-01-27
26.05,3.84,2013-01-28
25.73,4.41,2013-01-29
24.97,5.45,2013-01-30
21.26,7.04,2013-01-31
20.07,6.76,2013-02-01
20.41,4.48,2013-02-02
22.83,2.86,2013-02-03
24.03,3.41,2013-02-04
24.94,4.74,2013-02-05
24.01,5.75,2013-02-06
24.05,4.54,2013-02-07
24.43,4.02,2013-02-08
25.25,3.7,2013-02-09
26.92,3.66,2013-02-10
26.46,3.55,2013-02-11
26.38,3.3,2013-02-12
26.73,3.03,2013-02-13
26.37,2.95,2013-02-14
26.48,3.81,2013-02-15
26.58,3.83,2013-02-16
27.57,3.25,2013-02-17
27.63,2.45,2013-02-18
28.4,3.69,2013-02-19
29.92,2.88,2013-02-20
30.63,2.81,2013-02-21
30.47,4.21,2013-02-22
30.2,3.78,2013-02-23
30.71,3.89,2013-02-24
31.37,2.79,2013-02-25
31.69,2.83,2013-02-26
32.0,2.38,2013-02-27
32.14,2.52,2013-02-28
31.05,3.46,2013-03-01
30.51,2.62,2013-03-02
30.19,2.84,2013-03-03
31.48,2.85,2013-03-04
29.55,2.34,2013-03-05
31.39,3.35,2013-03-06
31.62,2.85,2013-03-07
30.67,3.6,2013-03-08
30.76,5.03,2013-03-09
30.92,3.2,2013-03-10
30.32,3.13,2013-03-11
31.28,2.57,2013-03-12
33.11,1.76,2013-03-13
32.43,1.62,2013-03-14
33.01,1.73,2013-03-15
32.68,2.5,2013-03-16
31.8,3.9,2013-03-17
31.31,2.57,2013-03-18
32.19,4.04,2013-03-19
31.64,3.14,2013-03-20
31.69,2.66,2013-03-21
31.89,2.59,2013-03-22
32.99,2.01,2013-03-23
32.15,3.25,2013-03-24
34.21,2.45,2013-03-25
33.88,3.8,2013-03-26
33.37,3.89,2013-03-27
32.18,4.52,2013-03-28
33.33,3.7,2013-03-29
32.63,2.06,2013-03-30
31.98,4.8,2013-03-31
33.63,2.91,2013-04-01
34.92,2.61,2013-04-02
34.01,2.07,2013-04-03
33.7,2.54,2013-04-04
34.86,1.7,2013-04-05
35.22,2.68,2013-04-06
34.75,2.38,2013-04-07
33.63,2.59,2013-04-08
32.83,4.8,2013-04-09
32.3,2.59,2013-04-10
34.1,2.16,2013-04-11
33.9,3.4,2013-04-12
32.81,3.35,2013-04-13
32.75,3.48,2013-04-14
32.13,3.63,2013-04-15
32.4,2.95,2013-04-16
31.49,3.96,2013-04-17
32.21,2.7,2013-04-18
30.15,2.88,2013-04-19
28.64,2.65,2013-04-20
29.86,2.29,2013-04-21
30.71,3.58,2013-04-22
30.37,3.66,2013-04-23
30.44,3.77,2013-04-24
30.91,3.53,2013-04-25
30.96,3.97,2013-04-26
32.55,3.78,2013-04-27
32.54,4.91,2013-04-28
33.19,3.11,2013-04-29
34.33,2.83,2013-04-30
31.23,3.78,2013-05-01
34.21,2.32,2013-05-02
35.19,3.22,2013-05-03
34.8,4.64,2013-05-04
32.4,3.22,2013-05-05
32.92,3.34,2013-05-06
32.3,2.92,2013-05-07
32.28,4.12,2013-05-08
31.26,3.08,2013-05-09
31.95,2.8,2013-05-10
30.79,2.84,2013-05-11
32.32,3.65,2013-05-12
32.74,4.12,2013-05-13
