T2M,WS10M,date
21.09,4.0,2013-01-01
22.14,4.2,2013-01-02
23.45,3.3,2013-01-03
24.31,2.12,2013-01-04
25.36,1.62,2013-01-05
24.41,2.38,2013-01-06
22.07,3.8,2013-01-07
22.53,3.6,2013-01-08
22.94,4.23,2013-01-09
22.37,4.13,2013-01-10
23.12,4.27,2013-01-11
23.33,4.2,2013-01-12
23.86,4.76,2013-01-13
25.48,2.45,2013-01-14
26.19,1.69,2013-01-15
27.13,1.64,2013-01-16
26.76,1.71,2013-01-17
25.19,1.95,2013-01-18
27.17,2.27,2013-01-19
27.21,2.26,2013-01-20
28.76,2.02,2013-01-21
27.72,2.06,2013-01-22
28.03,2.81,2013-01-23
27.51,3.41,2013-01-24
26.75,3.12,2013-01-25
26.98,3.61,2013-01-26
26.58,3.84,2013-01-27
27.99,2.12,2013-01-28
26.7,3.12,2013-01-29
25.34,3.62,2013-01-30
22.98,5.42,2013-01-31
22.15,4.83,2013-02-01
24.29,2.92,2013-02-02
27.03,1.87,2013-02-03
27.88,1.85,2013-02-04
28.89,2.53,2013-02-05
26.23,4.14,2013-02-06
26.48,3.74,2013-02-07
28.71,2.23,2013-02-08
27.74,2.24,2013-02-09
26.71,2.38,2013-02-10
27.5,2.04,2013-02-11
26.62,2.55,2013-02-12
28.3,2.83,2013-02-13
28.72,2.97,2013-02-14
27.87,2.61,2013-02-15
28.69,1.97,2013-02-16
26.94,2.66,2013-02-17
27.67,2.49,2013-02-18
27.32,2.55,2013-02-19
29.01,2.69,2013-02-20
30.04,2.75,2013-02-21
30.55,2.95,2013-02-22
29.33,2.61,2013-02-23
30.07,2.4,2013-02-24
29.46,3.78,2013-02-25
29.29,3.98,2013-02-26
29.59,3.5,2013-02-27
30.37,3.89,2013-02-28
29.69,3.78,2013-03-01
30.12,3.83,2013-03-02
30.23,3.72,2013-03-03
29.44,4.51,2013-03-04
29.53,4.04,2013-03-05
30.08,4.55,2013-03-06
29.88,4.36,2013-03-07
29.83,4.34,2013-03-08
29.79,4.44,2013-03-09
28.79,3.94,2013-03-10
28.85,4.04,2013-03-11
29.82,4.15,2013-03-12
29.67,4.06,2013-03-13
30.01,4.05,2013-03-14
29.84,4.19,2013-03-15
29.06,4.77,2013-03-16
29.53,4.62,2013-03-17
29.94,3.02,2013-03-18
30.91,3.51,2013-03-19
29.98,4.52,2013-03-20
29.62,4.45,2013-03-21
28.87,4.59,2013-03-22
28.01,4.13,2013-03-23
29.58,4.03,2013-03-24
29.57,4.14,2013-03-25
