T2M,WS10M,date
18.97,4.74,2013-01-01
19.92,4.48,2013-01-02
21.4,4.02,2013-01-03
21.98,3.84,2013-01-04
22.36,4.27,2013-01-05
20.87,5.44,2013-01-06
19.9,4.42,2013-01-07
20.32,5.05,2013-01-08
19.7,5.09,2013-01-09
19.09,5.17,2013-01-10
19.08,5.15,2013-01-11
19.08,4.77,2013-01-12
19.35,4.9,2013-01-13
21.48,3.83,2013-01-14
23.66,4.44,2013-01-15
24.68,4.86,2013-01-16
24.52,4.55,2013-01-17
24.94,4.02,2013-01-18
24.39,3.19,2013-01-19
26.8,1.85,2013-01-20
28.43,2.35,2013-01-21
28.62,4.04,2013-01-22
28.87,3.94,2013-01-23
29.44,3.46,2013-01-24
29.33,3.03,2013-01-25
28.04,2.72,2013-01-26
27.12,3.88,2013-01-27
25.1,5.1,2013-01-28
23.34,5.26,2013-01-29
21.88,6.05,2013-01-30
19.61,6.5,2013-01-31
18.9,6.23,2013-02-01
19.76,4.39,2013-02-02
22.98,3.14,2013-02-03
25.11,3.38,2013-02-04
24.91,6.01,2013-02-05
21.53,5.31,2013-02-06
22.8,4.24,2013-02-07
23.33,4.48,2013-02-08
23.95,4.11,2013-02-09
25.19,4.52,2013-02-10
25.76,4.92,2013-02-11
25.89,3.88,2013-02-12
26.82,3.32,2013-02-13
26.4,4.25,2013-02-14
25.27,5.68,2013-02-15
25.29,4.84,2013-02-16
25.07,4.21,2013-02-17
27.06,3.78,2013-02-18
27.29,4.16,2013-02-19
28.59,3.58,2013-02-20
30.37,2.41,2013-02-21
29.94,5.34,2013-02-22
29.15,6.62,2013-02-23
29.38,5.23,2013-02-24
29.8,4.85,2013-02-25
30.6,4.56,2013-02-26
31.46,4.97,2013-02-27
30.38,5.05,2013-02-28
30.06,4.18,2013-03-01
30.62,5.15,2013-03-02
30.81,4.47,2013-03-03
31.34,4.34,2013-03-04
30.85,4.27,2013-03-05
31.02,4.19,2013-03-06
30.15,4.23,2013-03-07
29.87,4.25,2013-03-08
29.76,4.77,2013-03-09
29.97,5.46,2013-03-10
30.51,5.02,2013-03-11
29.87,3.28,2013-03-12
30.67,2.87,2013-03-13
30.68,2.64,2013-03-14
31.34,3.38,2013-03-15
31.06,4.61,2013-03-16
29.54,5.25,2013-03-17
30.28,4.45,2013-03-18
31.05,4.79,2013-03-19
30.5,3.89,2013-03-20
30.5,3.39,2013-03-21
30.22,3.72,2013-03-22
30.07,4.62,2013-03-23
29.85,3.19,2013-03-24
30.57,3.48,2013-03-25
32.16,2.12,2013-03-26
31.99,2.44,2013-03-27
32.23,2.07,2013-03-28
32.48,3.02,2013-03-29
33.78,3.51,2013-03-30
32.85,4.14,2013-03-31
33.08,2.55,2013-04-01
32.69,4.27,2013-04-02
32.83,2.88,2013-04-03
32.24,3.52,2013-04-04
32.46,4.22,2013-04-05
33.15,4.11,2013-04-06
33.51,3.87,2013-04-07
32.96,3.21,2013-04-08
33.49,3.35,2013-04-09
31.13,4.44,2013-04-10
31.51,3.34,2013-04-11
31.3,3.65,2013-04-12
31.21,5.22,2013-04-13
31.13,5.27,2013-04-14
30.46,4.54,2013-04-15
30.54,3.93,2013-04-16
29.74,2.42,2013-04-17
30.65,1.71,2013-04-18
32.69,1.84,2013-04-19
32.94,3.54,2013-04-20
33.76,3.7,2013-04-21
33.9,2.59,2013-04-22
33.06,2.64,2013-04-23
33.02,1.93,2013-04-24
33.03,3.99,2013-04-25
33.57,4.46,2013-04-26
33.73,1.55,2013-04-27
33.77,2.08,2013-04-28
33.15,3.2,2013-04-29
35.44,3.15,2013-04-30
34.72,3.48,2013-05-01
34.71,2.95,2013-05-02
33.92,2.91,2013-05-03
33.61,3.27,2013-05-04
33.33,2.95,2013-05-05
33.3,3.95,2013-05-06
34.83,2.64,2013-05-07
34.48,3.02,2013-05-08
33.86,2.76,2013-05-09
33.6,1.77,2013-05-10
33.59,1.84,2013-05-11
32.97,5.59,2013-05-12
33.24,4.62,2013-05-13
34.32,3.01,2013-05-14
33.15,2.84,2013-05-15
34.51,2.31,2013-05-16
35.4,2.57,2013-05-17
35.16,3.63,2013-05-18
34.19,2.85,2013-05-19
33.97,3.17,2013-05-20
34.03,3.57,2013-05-21
34.41,3.25,2013-05-22
34.76,2.73,2013-05-23
34.48,3.73,2013-05-24
34.05,5.4,2013-05-25
32.52,3.96,2013-05-26
34.94,2.9,2013-05-27
32.54,4.37,2013-05-28
32.55,4.04,2013-05-29
33.51,3.14,2013-05-30
33.91,2.16,2013-05-31
34.21,3.29,2013-06-01
32.76,4.04,2013-06-02
32.92,4.81,2013-06-03
33.23,4.61,2013-06-04
32.36,5.09,2013-06-05
31.73,3.68,2013-06-06
33.33,2.56,2013-06-07
34.27,3.33,2013-06-08
33.72,4.52,2013-06-09
32.86,3.81,2013-06-10
33.19,3.43,2013-06-11
33.39,3.46,2013-06-12
33.02,3.65,2013-06-13
32.84,5.52,2013-06-14
32.36,2.65,2013-06-15
32.79,2.98,2013-06-16
33.97,3.26,2013-06-17
33.94,2.95,2013-06-18
32.34,2.54,2013-06-19
32.19,5.04,2013-06-20
31.65,2.8,2013-06-21
31.93,2.71,2013-06-22
31.99,2.41,2013-06-23
27.08,2.6,2013-06-24
28.36,1.99,2013-06-25
30.12,1.5,2013-06-26
32.15,2.2,2013-06-27
31.49,3.46,2013-06-28
30.78,2.62,2013-06-29
31.77,1.95,2013-06-30
31.79,1.95,2013-07-01
31.69,2.46,2013-07-02
31.94,3.03,2013-07-03
31.8,3.91,2013-07-04
31.0,3.43,2013-07-05
29.01,3.09,2013-07-06
29.94,3.62,2013-07-07
28.98,3.94,2013-07-08
30.51,2.11,2013-07-09
32.29,2.12,2013-07-10
32.51,3.49,2013-07-11
29.58,4.59,2013-07-12
30.11,2.84,2013-07-13
31.1,2.62,2013-07-14
31.01,3.72,2013-07-15
27.0,4.52,2013-07-16
28.9,3.19,2013-07-17
29.36,2.3,2013-07-18
28.24,2.19,2013-07-19
29.22,3.18,2013-07-20
28.91,2.41,2013-07-21
28.76,3.2,2013-07-22
29.69,3.43,2013-07-23
28.07,2.92,2013-07-24
27.77,3.21,2013-07-25
27.92,3.34,2013-07-26
28.58,3.34,2013-07-27
27.57,4.11,2013-07-28
25.8,2.77,2013-07-29
26.82,3.54,2013-07-30
27.85,3.28,2013-07-31
27.46,3.91,2013-08-01
26.48,3.55,2013-08-02
26.72,2.49,2013-08-03
28.03,2.55,2013-08-04
27.59,3.45,2013-08-05
25.65,3.57,2013-08-06
25.82,2.72,2013-08-07
25.89,2.34,2013-08-08
25.73,2.59,2013-08-09
26.86,2.18,2013-08-10
25.86,2.42,2013-08-11
25.08,2.11,2013-08-12
25.99,2.87,2013-08-13
26.01,2.68,2013-08-14
26.47,2.01,2013-08-15
26.51,1.52,2013-08-16
26.15,1.55,2013-08-17
26.16,1.68,2013-08-18
26.08,1.85,2013-08-19
26.82,1.61,2013-08-20
25.72,2.25,2013-08-21
26.46,1.09,2013-08-22
26.19,2.74,2013-08-23
26.24,2.16,2013-08-24
26.38,1.66,2013-08-25
26.5,2.0,2013-08-26
27.5,1.87,2013-08-27
27.75,2.19,2013-08-28
27.26,1.61,2013-08-29
26.63,2.48,2013-08-30
26.05,1.84,2013-08-31
25.99,1.99,2013-09-01
25.35,1.99,2013-09-02
27.17,1.73,2013-09-03
27.53,2.09,2013-09-04
27.23,2.44,2013-09-05
26.8,2.06,2013-09-06
26.83,1.77,2013-09-07
26.33,1.81,2013-09-08
26.23,2.52,2013-09-09
26.03,2.71,2013-09-10
25.12,3.41,2013-09-11
26.78,1.69,2013-09-12
27.27,2.44,2013-09-13
26.56,2.15,2013-09-14
26.87,2.02,2013-09-15
28.08,2.14,2013-09-16
28.02,2.23,2013-09-17
28.42,2.38,2013-09-18
28.14,2.39,2013-09-19
28.2,2.09,2013-09-20
27.75,2.72,2013-09-21
27.37,2.96,2013-09-22
27.23,3.12,2013-09-23
27.97,2.71,2013-09-24
27.69,2.79,2013-09-25
28.17,2.1,2013-09-26
28.69,2.45,2013-09-27
28.76,2.31,2013-09-28
28.26,2.53,2013-09-29
28.23,3.05,2013-09-30
28.01,2.25,2013-10-01
28.94,2.5,2013-10-02
28.23,2.06,2013-10-03
28.58,1.98,2013-10-04
28.4,1.79,2013-10-05
27.83,2.5,2013-10-06
27.63,2.66,2013-10-07
28.31,2.82,2013-10-08
27.73,2.42,2013-10-09
26.72,2.95,2013-10-10
26.83,2.85,2013-10-11
27.17,3.27,2013-10-12
26.9,3.09,2013-10-13
27.36,2.58,2013-10-14
28.08,2.57,2013-10-15
27.48,3.92,2013-10-16
26.44,3.58,2013-10-17
26.44,3.36,2013-10-18
26.15,3.3,2013-10-19
26.58,3.83,2013-10-20
26.64,3.96,2013-10-21
26.66,3.45,2013-10-22
26.49,3.55,2013-10-23
26.72,4.31,2013-10-24
27.14,4.15,2013-10-25
27.98,4.61,2013-10-26
27.72,3.98,2013-10-27
28.2,1.88,2013-10-28
28.37,2.58,2013-10-29
27.9,2.85,2013-10-30
27.33,4.38,2013-10-31
26.82,4.46,2013-11-01
26.88,4.84,2013-11-02
25.4,4.23,2013-11-03
24.54,4.2,2013-11-04
25.37,4.56,2013-11-05
25.9,4.12,2013-11-06
26.67,4.26,2013-11-07
26.71,4.4,2013-11-08
26.4,4.52,2013-11-09
25.44,4.3,2013-11-10
25.2,3.79,2013-11-11
25.65,3.54,2013-11-12
26.36,3.38,2013-11-13
26.53,3.33,2013-11-14
26.76,3.04,2013-11-15
26.83,3.61,2013-11-16
26.61,4.16,2013-11-17
26.11,4.05,2013-11-18
26.08,4.07,2013-11-19
25.97,4.26,2013-11-20
25.72,3.94,2013-11-21
25.19,2.88,2013-11-22
25.86,2.44,2013-11-23
27.3,1.8,2013-11-24
28.76,1.12,2013-11-25
28.23,1.98,2013-11-26
27.81,3.7,2013-11-27
27.22,4.94,2013-11-28
26.37,3.84,2013-11-29
26.94,2.55,2013-11-30
28.65,1.71,2013-12-01
29.05,2.48,2013-12-02
28.79,4.64,2013-12-03
28.13,4.1,2013-12-04
28.37,3.09,2013-12-05
28.28,1.23,2013-12-06
29.3,1.38,2013-12-07
26.9,4.11,2013-12-08
27.83,6.05,2013-12-09
27.62,4.76,2013-12-10
27.19,4.54,2013-12-11
25.64,6.67,2013-12-12
22.51,6.2,2013-12-13
18.8,5.8,2013-12-14
18.37,6.1,2013-12-15
18.39,5.81,2013-12-16
18.83,5.98,2013-12-17
18.48,5.22,2013-12-18
18.84,4.61,2013-12-19
19.14,3.94,2013-12-20
21.25,3.92,2013-12-21
22.18,3.88,2013-12-22
22.99,4.12,2013-12-23
23.05,4.31,2013-12-24
22.66,4.86,2013-12-25
22.63,4.55,2013-12-26
22.87,4.1,2013-12-27
22.87,4.08,2013-12-28
22.14,4.41,2013-12-29
20.9,4.02,2013-12-30
20.4,3.56,2013-12-31
20.65,3.98,2014-01-01
20.93,4.29,2014-01-02
21.41,5.17,2014-01-03
20.94,5.14,2014-01-04
21.02,5.17,2014-01-05
20.66,5.48,2014-01-06
21.31,5.18,2014-01-07
21.19,5.07,2014-01-08
20.51,5.08,2014-01-09
20.44,5.8,2014-01-10
20.13,5.66,2014-01-11
20.63,5.2,2014-01-12
19.4,4.03,2014-01-13
19.48,2.98,2014-01-14
21.96,2.79,2014-01-15
23.37,3.83,2014-01-16
23.33,4.78,2014-01-17
23.12,4.84,2014-01-18
23.09,4.19,2014-01-19
22.76,4.01,2014-01-20
22.3,4.04,2014-01-21
22.27,3.78,2014-01-22
22.98,3.23,2014-01-23
23.81,3.47,2014-01-24
24.48,3.45,2014-01-25
25.58,3.04,2014-01-26
25.31,4.2,2014-01-27
23.6,3.88,2014-01-28
24.36,4.1,2014-01-29
26.95,4.21,2014-01-30
27.15,2.64,2014-01-31
27.24,5.14,2014-02-01
24.51,5.38,2014-02-02
23.36,4.98,2014-02-03
24.21,5.48,2014-02-04
24.4,6.09,2014-02-05
24.91,5.71,2014-02-06
24.68,5.06,2014-02-07
24.22,5.2,2014-02-08
24.32,5.93,2014-02-09
24.9,4.98,2014-02-10
24.62,5.09,2014-02-11
24.33,4.97,2014-02-12
23.23,5.89,2014-02-13
22.13,6.09,2014-02-14
22.15,5.85,2014-02-15
22.75,5.22,2014-02-16
23.53,5.37,2014-02-17
23.86,4.95,2014-02-18
24.12,3.94,2014-02-19
25.6,2.83,2014-02-20
26.73,3.55,2014-02-21
26.5,4.35,2014-02-22
26.01,4.54,2014-02-23
26.14,4.91,2014-02-24
27.06,5.02,2014-02-25
27.22,5.28,2014-02-26
28.11,4.3,2014-02-27
28.29,2.34,2014-02-28
28.58,4.08,2014-03-01
26.03,4.11,2014-03-02
26.8,1.98,2014-03-03
27.25,3.48,2014-03-04
28.4,3.3,2014-03-05
29.15,2.84,2014-03-06
29.5,3.12,2014-03-07
29.29,4.24,2014-03-08
26.63,5.96,2014-03-09
25.33,4.42,2014-03-10
25.36,4.84,2014-03-11
25.51,5.02,2014-03-12
27.37,4.59,2014-03-13
29.56,5.34,2014-03-14
30.9,5.45,2014-03-15
31.15,4.66,2014-03-16
31.41,4.2,2014-03-17
30.75,5.05,2014-03-18
30.13,5.6,2014-03-19
29.18,4.91,2014-03-20
29.45,4.47,2014-03-21
30.86,2.88,2014-03-22
32.26,2.36,2014-03-23
32.9,2.22,2014-03-24
32.74,1.8,2014-03-25
33.44,1.88,2014-03-26
32.88,1.96,2014-03-27
32.59,2.56,2014-03-28
33.55,3.86,2014-03-29
33.51,4.2,2014-03-30
32.48,2.55,2014-03-31
32.36,4.25,2014-04-01
31.51,5.04,2014-04-02
31.54,4.52,2014-04-03
31.44,5.02,2014-04-04
31.24,4.12,2014-04-05
32.83,2.0,2014-04-06
33.76,1.52,2014-04-07
35.15,3.45,2014-04-08
33.33,5.8,2014-04-09
32.32,4.28,2014-04-10
32.51,3.81,2014-04-11
32.83,5.06,2014-04-12
32.61,4.45,2014-04-13
33.64,2.7,2014-04-14
34.19,2.73,2014-04-15
35.83,2.1,2014-04-16
34.12,4.88,2014-04-17
33.48,3.87,2014-04-18
33.87,3.55,2014-04-19
