T2M,WS10M,date
19.19,5.08,2013-01-01
20.58,4.88,2013-01-02
22.01,4.18,2013-01-03
22.65,4.1,2013-01-04
23.3,3.48,2013-01-05
21.51,5.26,2013-01-06
21.36,5.04,2013-01-07
22.02,5.0,2013-01-08
21.11,5.43,2013-01-09
20.28,5.72,2013-01-10
20.11,5.61,2013-01-11
20.83,5.44,2013-01-12
21.28,5.48,2013-01-13
22.69,4.29,2013-01-14
24.56,4.28,2013-01-15
25.26,4.77,2013-01-16
25.4,4.8,2013-01-17
26.09,3.58,2013-01-18
26.37,3.57,2013-01-19
27.27,2.59,2013-01-20
29.0,1.31,2013-01-21
29.48,1.64,2013-01-22
28.8,2.65,2013-01-23
29.02,2.1,2013-01-24
27.08,2.05,2013-01-25
28.1,2.02,2013-01-26
28.36,1.2,2013-01-27
26.58,3.98,2013-01-28
24.93,5.27,2013-01-29
24.22,6.09,2013-01-30
20.99,7.72,2013-01-31
19.44,7.28,2013-02-01
20.42,5.12,2013-02-02
23.08,3.14,2013-02-03
25.23,2.64,2013-02-04
25.48,5.32,2013-02-05
23.44,6.3,2013-02-06
23.69,4.91,2013-02-07
24.89,4.45,2013-02-08
25.55,4.01,2013-02-09
27.11,3.86,2013-02-10
26.78,4.29,2013-02-11
26.62,3.38,2013-02-12
26.85,2.27,2013-02-13
27.8,2.48,2013-02-14
27.2,4.48,2013-02-15
27.23,4.77,2013-02-16
27.65,3.4,2013-02-17
29.01,3.0,2013-02-18
28.4,3.74,2013-02-19
28.91,3.09,2013-02-20
30.62,2.16,2013-02-21
29.93,4.28,2013-02-22
29.8,5.7,2013-02-23
30.33,4.98,2013-02-24
30.44,3.84,2013-02-25
30.15,4.31,2013-02-26
30.17,3.27,2013-02-27
30.69,3.61,2013-02-28
30.51,5.0,2013-03-01
29.89,4.85,2013-03-02
30.47,3.7,2013-03-03
29.57,3.29,2013-03-04
30.64,3.14,2013-03-05
30.1,3.46,2013-03-06
30.3,4.05,2013-03-07
29.78,3.97,2013-03-08
29.66,4.39,2013-03-09
28.92,3.45,2013-03-10
29.88,3.73,2013-03-11
30.26,1.91,2013-03-12
30.84,2.58,2013-03-13
31.35,2.05,2013-03-14
31.53,2.16,2013-03-15
30.25,1.85,2013-03-16
29.69,4.09,2013-03-17
29.87,2.97,2013-03-18
31.08,4.76,2013-03-19
30.73,4.14,2013-03-20
31.04,3.61,2013-03-21
30.76,2.77,2013-03-22
31.7,2.28,2013-03-23
29.28,3.49,2013-03-24
32.1,1.91,2013-03-25
30.8,4.46,2013-03-26
32.01,3.45,2013-03-27
30.18,4.21,2013-03-28
31.72,4.22,2013-03-29
30.89,5.53,2013-03-30
30.5,5.61,2013-03-31
29.83,3.54,2013-04-01
32.26,2.89,2013-04-02
31.76,2.34,2013-04-03
32.38,2.09,2013-04-04
33.09,1.74,2013-04-05
32.54,2.92,2013-04-06
33.58,2.84,2013-04-07
32.9,1.5,2013-04-08
31.15,4.79,2013-04-09
32.08,2.6,2013-04-10
32.8,2.59,2013-04-11
32.07,3.66,2013-04-12
31.44,3.4,2013-04-13
31.62,3.81,2013-04-14
31.73,2.39,2013-04-15
31.12,2.95,2013-04-16
30.65,4.03,2013-04-17
32.04,2.86,2013-04-18
27.92,3.12,2013-04-19
27.83,2.59,2013-04-20
29.7,1.98,2013-04-21
30.72,3.45,2013-04-22
29.55,3.16,2013-04-23
29.94,1.63,2013-04-24
29.95,2.98,2013-04-25
31.2,3.25,2013-04-26
30.73,3.49,2013-04-27
29.01,4.35,2013-04-28
30.81,2.79,2013-04-29
32.02,2.85,2013-04-30
29.44,4.04,2013-05-01
31.83,2.52,2013-05-02
31.62,3.46,2013-05-03
29.4,4.07,2013-05-04
30.56,3.04,2013-05-05
30.29,3.45,2013-05-06
31.19,3.22,2013-05-07
30.25,4.12,2013-05-08
29.88,3.12,2013-05-09
30.74,2.81,2013-05-10
28.54,3.16,2013-05-11
29.65,3.04,2013-05-12
30.92,4.57,2013-05-13
31.75,3.12,2013-05-14
30.02,3.4,2013-05-15
32.01,2.06,2013-05-16
32.48,2.64,2013-05-17
31.49,3.89,2013-05-18
32.2,3.02,2013-05-19
32.38,3.12,2013-05-20
31.21,4.03,2013-05-21
32.52,3.57,2013-05-22
32.45,3.98,2013-05-23
32.55,3.01,2013-05-24
32.94,3.8,2013-05-25
30.93,4.33,2013-05-26
30.86,2.9,2013-05-27
30.47,3.89,2013-05-28
29.96,3.95,2013-05-29
30.25,3.29,2013-05-30
31.15,2.84,2013-05-31
31.3,4.07,2013-06-01
28.3,5.28,2013-06-02
29.9,4.35,2013-06-03
30.58,5.04,2013-06-04
28.56,5.27,2013-06-05
28.6,3.68,2013-06-06
30.44,2.65,2013-06-07
30.66,2.93,2013-06-08
29.11,4.84,2013-06-09
29.25,2.77,2013-06-10
30.93,3.13,2013-06-11
30.82,3.68,2013-06-12
30.87,4.36,2013-06-13
30.0,4.97,2013-06-14
27.19,3.42,2013-06-15
28.79,2.1,2013-06-16
29.73,3.73,2013-06-17
30.01,2.96,2013-06-18
30.08,3.72,2013-06-19
29.45,5.07,2013-06-20
27.27,4.52,2013-06-21
30.04,3.41,2013-06-22
30.65,3.3,2013-06-23
27.91,3.33,2013-06-24
26.85,3.79,2013-06-25
28.35,1.45,2013-06-26
27.17,2.08,2013-06-27
26.49,3.02,2013-06-28
26.61,2.57,2013-06-29
27.11,2.92,2013-06-30
27.64,2.87,2013-07-01
